,Nom du candidat,URL,Titre du programme,Description
0,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2022/01/06/blanquer-attaque-les-libertes-academiques-elle-doivent-au-contraire-etre-defendues-et-protegees/,Blanquer attaque les libertés académiques : elle doivent au contraire être défendues et protégées ,Article du groupe thématique Enseignement supérieur et recherche de la France insoumise Comme l’a déjà montré un collectif d’universitaires dans la tribune « L’universalisme républicain ne
1,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2022/01/03/feminicides-pas-une-de-plus/,Féminicides : pas une de plus ! ,Communiqué du groupe thématique Égalité Femmes-Hommes de la France insoumise L’année 2021 s’est achevée avec 113 femmes tuées par leur conjoint ou ex-conjoint. Voilà que
2,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2021/12/10/pour-les-droits-des-animaux-vite-la-6e-republique/,"Pour les droits des animaux, vite la 6e République ! ","Un article du groupe thématique Condition animale de la France insoumise Aujourd’hui, c’est la journée des droits des animaux. Une belle occasion de rappeler tout"
3,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2021/11/29/alors-que-vidal-souhaite-automatiser-la-selection-en-master-pronons-une-universite-ouverte-a-tou%c2%b7tes/,"Alors que Vidal souhaite automatiser la sélection en master, prônons une université ouverte à tou·tes","Un article des groupes thématiques Jeunesse et Enseignement supérieur et recherche de la France insoumise À partir de la rentrée 2022, selon une information transmise"
4,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2021/11/25/1-milliard-deuros-pour-eradiquer-des-violences-sexistes-et-sexuelles/,1 milliard d’euros pour éradiquer des violences sexistes et sexuelles ,"Un article du groupe thématique Égalité femmes-hommes de la France insoumise. En 2017, le candidat Emmanuel Macron promettait que l’Égalité femmes-hommes serait la « grande cause"
5,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2021/11/23/mail-de-la-direction-generale-de-la-sante-aux-soignants-lhopital-coule-les-soignants-devront-colmater/,"Mail de la direction générale de la santé aux soignants : l’hôpital coule, les soignants devront colmater ! ","Un article du groupe thématique santé de la France insoumise La direction générale de la santé (DGS) met en garde sur la situation actuelle, et"
6,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2021/11/22/fiasco-du-non-versement-des-primes-de-100e-pour-les-etudiants-quand-le-gouvernement-part-a-la-peche-aux-voix/,Fiasco du (non)-versement des primes de 100€ pour les étudiants : quand le gouvernement part à la pêche aux voix ,"Un article du groupe thématique Enseignement supérieur et recherche de la France insoumise Annoncée le 21 octobre dernier par le Premier ministre Jean Castex, la"
7,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2021/10/28/le-patrimoine-un-bien-commun-a-partager-un-service-public-a-defendre/,"Le patrimoine : un bien commun à partager, un service public à défendre ","Un article du groupe thématique culture de la France insoumise Alors que s’ouvre ce week-end le Salon du Patrimoine, le groupe culture de la France"
8,Jean Luc Mélanchon,https://lafranceinsoumise.fr/2021/10/18/stapsoublies-les-etudiants-en-staps-tirent-la-sonnette-dalarme/,"#StapsOubliés, les étudiants en STAPS tirent la sonnette d’alarme","Un article du groupe thématique Jeunesse de la France insoumise Rennes, Nantes, Toulouse, Valenciennes : partout en France, les étudiants en STAPS (sciences et techniques des"
